METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Probe 4 Version,Subject
8481523,1,1,1,1,001
Time after setup,5.1013372000306845
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,9.576895599951968
Movie Task Start,9.576995500130579,,,,Movie Task,1,1,,,
Movie Init,10.201720700133592,,,,Movie Task,1,1,,,
Movie Start,10.208252399927005,,,,Movie Task,1,1,,test1.mp4,
