METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Probe 4 Version,Subject
9886898,1,1,1,1,001
Time after setup,8.738815899938345
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,11.855719099985436
Movie Task Start,11.855833799927495,,,,Movie Task,1,1,,,
Movie Init,12.537664599949494,,,,Movie Task,1,1,,,
Movie Start,12.559918100014329,,,,Movie Task,1,1,,friends1.mp4,
