Component,Beta_KDE,SE,p,N_timepoints
Mean_PCA_1,-0.11730726842278719,0.01796087862346946,6.521623419120805e-11,3099
Mean_PCA_2,0.09252038506096905,0.017144935172399935,6.800327691168569e-08,3099
Mean_PCA_3,0.008514236064816166,0.01787855833712009,0.6339133088935325,3099
Mean_PCA_4,0.07775504778122803,0.01742714693168943,8.130446576925885e-06,3099
Mean_PCA_5,0.0660634363976144,0.018426630217644045,0.0003368002524896086,3099
