component,r_obs,p_perm,N_perm
Mean_PCA_1,-0.11912046671886094,0.022977022977022976,1000
Mean_PCA_2,0.03190446707432773,0.6243756243756243,1000
Mean_PCA_3,-0.013960424497962011,0.7812187812187812,1000
Mean_PCA_4,0.00357730495626123,0.9200799200799201,1000
Mean_PCA_5,0.01850259026979663,0.7542457542457542,1000
