video,event_index,within_value,across_value,difference,type
global_Mean_PCA_1,1,-0.5253797195273185,0.5635433112034341,-1.0889230307307527,segment_middle
global_Mean_PCA_1,2,-0.5862586984375626,0.7290132132064492,-1.315271911644012,segment_middle
global_Mean_PCA_1,3,-0.0472736316683425,0.17270709012198243,-0.21998072179032493,segment_middle
global_Mean_PCA_1,3,0.08477923121184654,-0.027696594765882817,0.11247582597772936,fake_boundary
global_Mean_PCA_1,8,-0.9820989878700395,0.23740259729721905,-1.2195015851672586,segment_middle
global_Mean_PCA_1,9,-0.4468096795264721,0.789943660444964,-1.236753339971436,segment_middle
global_Mean_PCA_1,12,0.014847020565856125,-0.9508677711091134,0.9657147916749694,segment_middle
global_Mean_PCA_1,14,0.7879467341428606,-0.12558628338963299,0.9135330175324936,segment_middle
global_Mean_PCA_1,15,0.282404812811557,0.45213381779762585,-0.16972900498606885,segment_middle
global_Mean_PCA_1,16,-0.6963203038849405,0.7643838256696812,-1.4607041295546217,segment_middle
global_Mean_PCA_1,16,0.06180610485123814,0.044744122735909594,0.01706198211532855,fake_boundary
global_Mean_PCA_1,18,-0.7423264949203714,-0.39230442255370607,-0.3500220723666653,segment_middle
global_Mean_PCA_1,18,0.007154544896091542,-0.008888441522911383,0.016042986419002925,fake_boundary
global_Mean_PCA_1,20,0.4256638250131018,-0.26895429206838956,0.6946181170814913,segment_middle
global_Mean_PCA_1,21,0.503751711991591,-0.49923836861270604,1.002990080604297,segment_middle
global_Mean_PCA_1,23,-0.5215980523654447,0.2988151469459844,-0.820413199311429,segment_middle
global_Mean_PCA_1,24,0.05884694471318466,-0.1133019276101073,0.17214887232329196,segment_middle
global_Mean_PCA_1,24,0.2326191273389457,0.03839713058455936,0.19422199675438634,fake_boundary
global_Mean_PCA_1,25,-0.8234659208921118,0.5523301824048046,-1.3757961032969164,segment_middle
global_Mean_PCA_1,27,-0.8127128668009921,0.30414301936059396,-1.116855886161586,segment_middle
global_Mean_PCA_1,29,-0.8360543161659598,0.46952197760056225,-1.305576293766522,segment_middle
global_Mean_PCA_1,30,-0.5304769223008653,0.3777408925202497,-0.9082178148211151,segment_middle
global_Mean_PCA_1,31,-0.4009191157843361,0.01155890095191122,-0.4124780167362473,segment_middle
global_Mean_PCA_1,32,0.48189801936001125,-0.5466688430933159,1.028566862453327,segment_middle
global_Mean_PCA_1,39,-0.16114725794670093,0.21711710212124002,-0.37826436006794095,segment_middle
global_Mean_PCA_1,39,0.019661071732941557,0.12066758121404052,-0.10100650948109896,fake_boundary
global_Mean_PCA_1,40,0.19966581802159364,0.8181672797866938,-0.6185014617651001,segment_middle
global_Mean_PCA_1,40,0.18099512259048464,0.05110593719006466,0.12988918540042,fake_boundary
global_Mean_PCA_1,43,-0.79214642413001,-0.6141466310535482,-0.17799979307646185,segment_middle
global_Mean_PCA_1,43,0.019757187642405197,-0.001994187559691898,0.021751375202097096,fake_boundary
global_Mean_PCA_1,46,0.20772668373600323,0.2690690938936467,-0.06134241015764347,segment_middle
global_Mean_PCA_1,46,0.1581894970749248,0.09718166655629457,0.061007830518630235,fake_boundary
global_Mean_PCA_1,47,0.3514383240913869,-0.09413987167424626,0.4455781957656332,segment_middle
global_Mean_PCA_1,49,0.43464022524808077,-0.425516304399939,0.8601565296480198,segment_middle
global_Mean_PCA_1,49,0.03019667817535032,-0.03884417082217339,0.0690408489975237,fake_boundary
global_Mean_PCA_1,50,-0.8780673113961432,-0.042117911667247133,-0.8359493997288961,segment_middle
global_Mean_PCA_1,50,-0.006531410176931724,-0.05383593581564782,0.047304525638716094,fake_boundary
global_Mean_PCA_1,52,0.3991427006514001,0.12258534164997184,0.2765573590014283,segment_middle
global_Mean_PCA_1,52,0.21522516936934089,0.009772009523498291,0.2054531598458426,fake_boundary
global_Mean_PCA_1,53,-0.39998917258875266,-0.5764046915612915,0.17641551897253882,segment_middle
global_Mean_PCA_1,53,0.1066914528359118,0.24813385305171742,-0.14144240021580562,fake_boundary
global_Mean_PCA_1,55,-0.9507038302051679,,,segment_middle
global_Mean_PCA_2,1,0.8515473502376103,0.5797201538682581,0.27182719636935215,segment_middle
global_Mean_PCA_2,2,-0.6425777246647963,0.4523872449377236,-1.0949649696025199,segment_middle
global_Mean_PCA_2,3,-0.014184379979893701,-0.42652707315369487,0.4123426931738012,segment_middle
global_Mean_PCA_2,3,-0.011800259601014692,-0.08323296364574212,0.07143270404472743,fake_boundary
global_Mean_PCA_2,8,-0.6121859529080703,0.674383983084193,-1.2865699359922633,segment_middle
global_Mean_PCA_2,9,-0.3062554591882273,-0.8955543118318158,0.5892988526435885,segment_middle
global_Mean_PCA_2,12,0.2506618598277315,-0.9148971336161887,1.1655589934439203,segment_middle
global_Mean_PCA_2,14,0.22413937114074325,-0.43577808573944843,0.6599174568801917,segment_middle
global_Mean_PCA_2,15,-0.7448861137913697,-0.6604160990303096,-0.08447001476106009,segment_middle
global_Mean_PCA_2,16,0.05303131495885373,0.20039651284329874,-0.14736519788444502,segment_middle
global_Mean_PCA_2,16,-0.05594632711381509,0.030139379757826667,-0.08608570687164176,fake_boundary
global_Mean_PCA_2,18,-0.7780250572060955,0.6978904784299857,-1.4759155356360814,segment_middle
global_Mean_PCA_2,18,0.037499242401904345,0.041320610710534195,-0.0038213683086298494,fake_boundary
global_Mean_PCA_2,20,-0.5063715000680177,0.4755629228705693,-0.9819344229385869,segment_middle
global_Mean_PCA_2,21,0.4992074161164379,-0.5585379059155648,1.0577453220320028,segment_middle
