Video,Num_Peaks,Median_EventLength_s,Mean_EventLength_s,WindowUsed_s,Num_Segments,Delta_PCA_HighMinusLow,t,p
12 years_6m.mp4,6,25.0,38.8,12,6,-0.06411326050885718,-0.5732743269314649,0.5694424208751883
back to the future_6m.mp4,6,63.0,48.6,30,5,0.6326371228384914,3.714382370722144,0.0006002521414002076
Movie Task-c4,9,52.5,67.375,26,9,-0.3738825508818863,-2.558726608940375,0.012605612713521392
Movie Task-lms,11,56.5,54.5,28,10,-0.20203930766510209,-1.3099947485726129,0.19447115021862674
Movie Task-summer,5,45.0,45.25,22,4,-0.5170398064956121,-3.5376416543924036,0.00098523341509695
pulp_fiction_6m.mp4,7,50.0,43.833333333333336,25,6,-0.17952478930845203,-0.8206240773657568,0.417249626856145
shawshank clip_6m.mp4,8,46.0,40.714285714285715,23,6,-0.7096445898367036,-4.230659317431577,0.00012544728830159776
the_prestige_6m.mp4,7,19.0,36.833333333333336,10,7,-0.6073151299258737,-2.690804439692909,0.010832530642998599
