ProbeVersion,ProbeNumber,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4
0,1,-0.19735524362153922,0.033526631326014196,0.04697432536330544,-0.4899144101736619,-0.12515211715314836
0,2,-0.23518581281431333,0.0012383104151365565,-0.6085105263481533,-0.25274810275945614,-0.2297337791290769
0,3,-0.4314837166320001,0.04111445115045085,0.3158398537012796,-0.15057246100372346,-0.20814877357995032
1,1,0.32434849910292374,-0.1361543227232032,0.18848323340064713,-0.14782679942850457,-0.2159557898233561
1,2,0.44944261096746185,0.39233830923152224,0.1282606262628692,-0.1686242863388746,0.6126671798860173
1,3,0.17437917592150884,0.4689090776413834,-0.4087231050324551,-0.07043385932759892,0.4027734329333493
2,1,-0.1861741941481113,-0.3710619070434424,-0.3163739568835981,0.590986003798016,0.09339294822393955
2,2,0.1863572725499937,-0.46163896381660385,-0.31997943467456563,-0.033379556920848104,-0.04859652505021075
2,3,-0.10349224209558332,-0.34759719538626643,-0.05257247692444051,0.28861644785748536,0.14398313614312971
3,1,1.2304875648141345,-0.4281796557496121,0.4388301144102096,-0.22055612711759628,0.35652243497059083
3,2,0.9794935771908294,-0.6472699393443886,0.4758914938813927,-0.3629747642531153,0.4025941021304111
3,3,0.7915217713306011,-0.036887470052228866,0.19767825961851335,0.3333470520699151,-0.4750525328738413
4,1,-0.09239739500842233,0.23770643876553255,0.0955797106870805,0.029538025670605025,-0.1667807943063784
4,2,-0.04018072933914794,0.11247543532748805,0.006225720202710339,0.597860527833473,-0.2878486378768114
4,3,-0.5355246459254274,-0.10274179060960274,-0.3108216823607679,0.3954026752305306,-0.4098543077954953
5,1,-0.026090894825755457,0.661316060655094,0.7013897266248601,0.12623477663481356,0.36430253871160523
5,2,-0.0998319387638696,0.12198944342311041,0.2913480551426823,0.6512410940484887,0.34188721677874917
5,3,-0.12566652606078335,-0.548797935107989,0.16491105154067462,0.4131721004115508,0.4338442619647855
6,1,-0.40910440432466455,-0.0895466458899619,-0.04864417358225929,0.3156648466479057,0.15442171631252752
6,2,-0.06570643974000856,-0.11673799286941892,-0.19296036320675125,-0.3409738015289692,-0.10634715728654831
6,3,-0.2602586452338456,-0.28703357386064565,0.059252110995035835,0.05962324492232113,0.21672114969604225
7,1,-0.06541412098629389,0.07148171253921026,0.601626039300963,0.17596035545046687,0.3494364741546794
7,2,0.6007178363327228,-0.30313908799133843,0.49274433626935926,0.11606023617032431,-0.33208178236851166
7,3,0.0359500846762267,-0.40799922130882244,-0.46102051537664845,-0.05077556246838391,0.011293155083205714
8,1,-0.05041895036256878,0.6730285246390878,0.1892246292198373,0.18840461921083643,0.4514235524154779
8,2,-0.22278933989933358,0.9535759408476933,0.5517519627815113,0.26016071382173195,0.7443438707152451
8,3,-0.8078131300806328,-0.24513692839835208,-0.11596791603984491,0.033376702359105066,-0.07833131124032774
