ProbeVersion,ProbeNumber,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4
0,1,0.7663427688165091,0.9676054808322738,0.9327764935498211,0.40626562240194125,0.5449553250456872
0,2,0.33077773097408014,0.3533459655805977,0.12999612958636295,0.12555829924290346,0.8656823512958494
0,3,0.2930754923229683,0.22607652917523868,0.08172945874767595,0.31748889914335837,0.39026323438649885
1,1,-0.09834645368380242,-0.2997015582329878,-0.4266612153340685,0.4792724426709359,0.15566613769689921
1,2,0.5510204401875611,0.043440212161409954,-0.15799910237770268,0.012761030132437493,-0.18272049886399455
1,3,0.4542153576914383,-0.15615094321984893,-0.025629778043815887,0.13369354762624552,-0.18101763235539026
2,1,0.3292316629284157,-0.10388571178919065,0.30289679356077454,0.2132106093039846,0.048442141332443324
2,2,0.17249936340881245,-0.058368987652605696,0.15200909719357228,0.14342131957681456,0.2697317859513781
2,3,-0.22445933845996227,0.335164819572174,-0.4406908561543819,0.33275498812884474,-0.12543337507819832
3,1,-0.1416609895134053,0.22681734723369998,0.5609433379541113,0.34718636368295774,0.3771057569573691
3,2,-0.5091888710795313,0.16233519565029333,0.01222348078224375,-0.18722811220145397,0.04319527383037102
3,3,0.12709795740686905,0.42810937528572146,0.2202210784937423,0.23524000151243948,0.6721973420602333
4,1,0.2443148145297047,0.8566687611165459,-0.41286102384084644,-0.21938175396667636,-0.4781208742534378
4,2,-0.22431984963645826,0.515918699518031,-0.1072595136893188,-0.021726139062571426,0.29189260275861656
4,3,0.36661190164669133,0.48611698284386373,0.1886074297432164,-0.11140944566542724,-0.44102048027238766
5,1,-0.17401818768128816,-0.03988473160435698,0.16557195041733444,-0.19770296395092157,0.15547729853104605
5,2,0.47458202583275955,-0.1630392633754649,0.5657833988048366,-0.7380167141742028,0.5475597467413214
5,3,-0.2231149711682124,-0.5369018566100137,0.43698402224441996,-0.9122071034551276,0.2058474705225397
6,1,0.4194884823778848,-0.22631572187963114,-0.31886445087548093,0.16299123270921048,-0.15982159102301008
6,2,0.08631916537434221,0.2342116776709506,0.08407873690301977,-0.33889902253908516,0.2561563297538261
6,3,0.3591105309744566,0.6328931749658498,0.04210040956294653,-0.19216983899769102,-0.29703065447783816
7,1,0.1240749734494712,-0.34759747698531146,-0.6147527887788531,0.208390402636401,-0.2185885525237492
7,2,-0.20968285419339797,-0.4417251345428948,-0.6625031419376058,0.00013830858556101536,-0.32523599324455305
7,3,0.05539136343727341,-0.05483671273617372,-0.6288023031760416,0.15603713879648287,-0.2993612862506331
8,1,0.3516396198968976,-0.4226579916343068,0.3612097223753847,0.6035555826433959,-0.46443367805176056
8,2,-0.25853822804825316,-0.11653939094065395,0.39708433889108147,-0.3542418254619801,0.4615680608857457
8,3,-1.022411536298009,-0.7911678777676823,-0.26336395060831846,-0.18232072044162861,-0.07342217505547727
